DATUM;WAARDE
3-4-2014;600
4-4-2014;600
5-4-2014;600
6-4-2014;600
7-4-2014;600
8-4-2014;600
9-4-2014;600
10-4-2014;600
11-4-2014;600
12-4-2014;600
13-4-2014;600
14-4-2014;600
15-4-2014;600
16-4-2014;600
17-4-2014;600
18-4-2014;600
19-4-2014;600
20-4-2014;600
21-4-2014;600
22-4-2014;600
23-4-2014;600
24-4-2014;600
25-4-2014;600
26-4-2014;600
27-4-2014;600
28-4-2014;600
29-4-2014;600
30-4-2014;600
1-5-2014;600
2-5-2014;600
3-5-2014;600
4-5-2014;600
5-5-2014;600
6-5-2014;600
7-5-2014;600
8-5-2014;600
9-5-2014;600
10-5-2014;600
11-5-2014;600
12-5-2014;600
13-5-2014;600
14-5-2014;600
15-5-2014;600
16-5-2014;600
17-5-2014;600
18-5-2014;600
19-5-2014;600
20-5-2014;600
21-5-2014;600
22-5-2014;600
23-5-2014;600
24-5-2014;600
25-5-2014;600
26-5-2014;600
27-5-2014;600
28-5-2014;600
29-5-2014;600
30-5-2014;600
31-5-2014;600
1-6-2014;600
2-6-2014;600
3-6-2014;600
4-6-2014;600
5-6-2014;600
6-6-2014;600
7-6-2014;600
8-6-2014;600
9-6-2014;600
10-6-2014;600
11-6-2014;600
12-6-2014;600
13-6-2014;600
14-6-2014;600
15-6-2014;600
16-6-2014;600
17-6-2014;600
18-6-2014;600
19-6-2014;600
20-6-2014;600
21-6-2014;600
22-6-2014;600
23-6-2014;600
24-6-2014;600
25-6-2014;600
26-6-2014;600
27-6-2014;600
28-6-2014;600
29-6-2014;600
30-6-2014;600
1-7-2014;600
2-7-2014;600
3-7-2014;600
4-7-2014;600
5-7-2014;600
6-7-2014;600
7-7-2014;600
8-7-2014;600
9-7-2014;600
10-7-2014;600
11-7-2014;600
12-7-2014;600
13-7-2014;600
14-7-2014;600
15-7-2014;600
16-7-2014;600
17-7-2014;600
18-7-2014;600
19-7-2014;600
20-7-2014;600
21-7-2014;600
22-7-2014;600
23-7-2014;600
24-7-2014;600
25-7-2014;600
26-7-2014;600
27-7-2014;600
28-7-2014;600
29-7-2014;600
30-7-2014;600
31-7-2014;600
1-8-2014;600
2-8-2014;600
3-8-2014;600
4-8-2014;600
5-8-2014;600
6-8-2014;600
7-8-2014;600
8-8-2014;600
9-8-2014;600
10-8-2014;600
11-8-2014;600
12-8-2014;600
13-8-2014;600
14-8-2014;600
15-8-2014;600
16-8-2014;600
17-8-2014;600
18-8-2014;600
19-8-2014;600
20-8-2014;600
21-8-2014;600
22-8-2014;600
23-8-2014;600
24-8-2014;600
25-8-2014;600
26-8-2014;600
27-8-2014;600
28-8-2014;600
29-8-2014;600
30-8-2014;600
31-8-2014;600
1-9-2014;600
2-9-2014;600
3-9-2014;600
4-9-2014;600
5-9-2014;600
6-9-2014;600
7-9-2014;600
8-9-2014;600
9-9-2014;600
10-9-2014;600
11-9-2014;600
12-9-2014;600
13-9-2014;600
14-9-2014;600
15-9-2014;600
16-9-2014;600
17-9-2014;600
18-9-2014;600
19-9-2014;600
20-9-2014;600
21-9-2014;600
22-9-2014;600
23-9-2014;600
24-9-2014;600
25-9-2014;600
26-9-2014;600
27-9-2014;600
28-9-2014;600
29-9-2014;600
30-9-2014;600
1-10-2014;600
2-10-2014;600
3-10-2014;600
4-10-2014;600
5-10-2014;600
6-10-2014;600
7-10-2014;600
8-10-2014;600
9-10-2014;600
10-10-2014;600
11-10-2014;600
12-10-2014;600
13-10-2014;600
14-10-2014;600
15-10-2014;600
16-10-2014;600
17-10-2014;600
18-10-2014;600
19-10-2014;600
20-10-2014;600
21-10-2014;600
22-10-2014;600
23-10-2014;600
24-10-2014;600
25-10-2014;600
26-10-2014;600
27-10-2014;600
28-10-2014;600
29-10-2014;600
30-10-2014;600
31-10-2014;600
1-11-2014;600
2-11-2014;600
3-11-2014;600
4-11-2014;600
5-11-2014;600
6-11-2014;600
7-11-2014;600
8-11-2014;600
9-11-2014;600
10-11-2014;600
11-11-2014;600
12-11-2014;600
13-11-2014;600
14-11-2014;600
15-11-2014;600
16-11-2014;600
17-11-2014;600
18-11-2014;600
19-11-2014;600
20-11-2014;600
21-11-2014;600
22-11-2014;600
23-11-2014;600
24-11-2014;600
25-11-2014;600
26-11-2014;600
27-11-2014;600
28-11-2014;600
29-11-2014;600
30-11-2014;600
1-12-2014;600
2-12-2014;600
3-12-2014;600
4-12-2014;600
5-12-2014;600
6-12-2014;600
7-12-2014;600
8-12-2014;600
9-12-2014;600
10-12-2014;600
11-12-2014;600
12-12-2014;600
13-12-2014;600
14-12-2014;600
15-12-2014;600
16-12-2014;600
17-12-2014;600
18-12-2014;600
19-12-2014;600
20-12-2014;600
21-12-2014;600
22-12-2014;600
23-12-2014;600
24-12-2014;600
25-12-2014;600
26-12-2014;600
27-12-2014;600
28-12-2014;600
29-12-2014;600
30-12-2014;600
31-12-2014;600
1-1-2015;600
2-1-2015;600
3-1-2015;600
4-1-2015;600
5-1-2015;600
6-1-2015;600
7-1-2015;600
8-1-2015;600
9-1-2015;600
10-1-2015;600
11-1-2015;600
12-1-2015;600
13-1-2015;600
14-1-2015;600
15-1-2015;600
16-1-2015;600
17-1-2015;600
18-1-2015;600
19-1-2015;600
20-1-2015;600
21-1-2015;600
22-1-2015;600
23-1-2015;600
24-1-2015;600
25-1-2015;600
26-1-2015;600
27-1-2015;600
28-1-2015;600
29-1-2015;600
30-1-2015;600
31-1-2015;600
1-2-2015;600
2-2-2015;600
3-2-2015;600
4-2-2015;600
5-2-2015;600
6-2-2015;600
7-2-2015;600
8-2-2015;600
9-2-2015;600
10-2-2015;600
11-2-2015;600
12-2-2015;600
13-2-2015;600
14-2-2015;600
15-2-2015;600
16-2-2015;600
17-2-2015;600
18-2-2015;600
19-2-2015;600
20-2-2015;600
21-2-2015;600
22-2-2015;600
23-2-2015;600
24-2-2015;600
25-2-2015;600
26-2-2015;600
27-2-2015;600
28-2-2015;600
1-3-2015;600
2-3-2015;600
3-3-2015;600
4-3-2015;600
5-3-2015;600
6-3-2015;600
7-3-2015;600
8-3-2015;600
9-3-2015;600
10-3-2015;600
11-3-2015;600
12-3-2015;600
13-3-2015;600
14-3-2015;600
15-3-2015;600
16-3-2015;600
17-3-2015;600
18-3-2015;600
19-3-2015;600
20-3-2015;600
21-3-2015;600
22-3-2015;600
23-3-2015;600
24-3-2015;600
25-3-2015;600
26-3-2015;600
27-3-2015;600
28-3-2015;600
29-3-2015;600
30-3-2015;600
31-3-2015;600
1-4-2015;600
2-4-2015;600
3-4-2015;600
4-4-2015;600
5-4-2015;600
6-4-2015;600
7-4-2015;600
8-4-2015;600
9-4-2015;600
10-4-2015;600
11-4-2015;600
12-4-2015;600
13-4-2015;600
14-4-2015;600
15-4-2015;600
16-4-2015;600
17-4-2015;600
18-4-2015;600
19-4-2015;600
20-4-2015;600
21-4-2015;600
22-4-2015;600
23-4-2015;600
24-4-2015;600
25-4-2015;600
26-4-2015;600
27-4-2015;600
28-4-2015;600
29-4-2015;600
30-4-2015;600
1-5-2015;600
2-5-2015;600
3-5-2015;600
4-5-2015;600
5-5-2015;600
6-5-2015;600
7-5-2015;600
8-5-2015;600
9-5-2015;600
10-5-2015;600
11-5-2015;600
12-5-2015;600
13-5-2015;600
14-5-2015;600
15-5-2015;600
16-5-2015;600
17-5-2015;600
18-5-2015;600
19-5-2015;600
20-5-2015;600
21-5-2015;600
22-5-2015;600
23-5-2015;600
24-5-2015;600
25-5-2015;600
26-5-2015;600
27-5-2015;600
28-5-2015;600
29-5-2015;600
30-5-2015;600
31-5-2015;600
1-6-2015;600
2-6-2015;600
3-6-2015;600
4-6-2015;600
5-6-2015;600
6-6-2015;600
7-6-2015;600
8-6-2015;600
9-6-2015;600
10-6-2015;600
11-6-2015;600
12-6-2015;600
13-6-2015;600
14-6-2015;600
15-6-2015;600
16-6-2015;600
17-6-2015;600
18-6-2015;600
19-6-2015;600
20-6-2015;600
21-6-2015;600
22-6-2015;600
23-6-2015;600
24-6-2015;600
25-6-2015;600
26-6-2015;600
27-6-2015;600
28-6-2015;600
29-6-2015;600
30-6-2015;600
1-7-2015;600
2-7-2015;600
3-7-2015;600
4-7-2015;600
5-7-2015;600
6-7-2015;600
7-7-2015;600
8-7-2015;600
9-7-2015;600
10-7-2015;600
11-7-2015;600
12-7-2015;600
13-7-2015;600
14-7-2015;600
15-7-2015;600
16-7-2015;600
17-7-2015;600
18-7-2015;600
19-7-2015;600
20-7-2015;600
21-7-2015;600
22-7-2015;600
23-7-2015;600
24-7-2015;600
25-7-2015;600
26-7-2015;600
27-7-2015;600
28-7-2015;600
29-7-2015;600
30-7-2015;600
31-7-2015;600
1-8-2015;600
2-8-2015;600
3-8-2015;600
4-8-2015;600
5-8-2015;600
6-8-2015;600
7-8-2015;600
8-8-2015;600
9-8-2015;600
10-8-2015;600
11-8-2015;600
12-8-2015;600
13-8-2015;600
14-8-2015;600
15-8-2015;600
16-8-2015;600
17-8-2015;600
18-8-2015;600
19-8-2015;600
20-8-2015;600
21-8-2015;600
22-8-2015;600
23-8-2015;600
24-8-2015;600
25-8-2015;600
26-8-2015;600
27-8-2015;600
28-8-2015;600
29-8-2015;600
30-8-2015;600
31-8-2015;600
1-9-2015;600
2-9-2015;600
3-9-2015;600
4-9-2015;600
5-9-2015;600
6-9-2015;600
7-9-2015;600
8-9-2015;600
9-9-2015;600
10-9-2015;600
11-9-2015;600
12-9-2015;600
13-9-2015;600
14-9-2015;600
15-9-2015;600
16-9-2015;600
17-9-2015;600
18-9-2015;600
19-9-2015;600
20-9-2015;600
21-9-2015;600
22-9-2015;600
23-9-2015;600
24-9-2015;600
25-9-2015;600
26-9-2015;600
27-9-2015;600
28-9-2015;600
29-9-2015;600
30-9-2015;600
1-10-2015;600
2-10-2015;600
3-10-2015;600
4-10-2015;600
5-10-2015;600
6-10-2015;600
7-10-2015;600
8-10-2015;600
9-10-2015;600
10-10-2015;600
11-10-2015;600
12-10-2015;600
13-10-2015;600
14-10-2015;600
15-10-2015;600
16-10-2015;600
17-10-2015;600
18-10-2015;600
19-10-2015;600
20-10-2015;600
21-10-2015;600
22-10-2015;600
23-10-2015;600
24-10-2015;600
25-10-2015;600
26-10-2015;600
27-10-2015;600
28-10-2015;600
29-10-2015;600
30-10-2015;600
31-10-2015;600
1-11-2015;600
2-11-2015;600
3-11-2015;600
4-11-2015;600
5-11-2015;600
6-11-2015;600
7-11-2015;600
8-11-2015;600
9-11-2015;600
10-11-2015;600
11-11-2015;600
12-11-2015;600
13-11-2015;600
14-11-2015;600
15-11-2015;600
16-11-2015;600
17-11-2015;600
18-11-2015;600
19-11-2015;600
20-11-2015;600
21-11-2015;600
22-11-2015;600
23-11-2015;600
24-11-2015;600
25-11-2015;600
26-11-2015;600
27-11-2015;600
28-11-2015;600
29-11-2015;600
30-11-2015;600
1-12-2015;600
2-12-2015;600
3-12-2015;600
4-12-2015;600
5-12-2015;600
6-12-2015;600
7-12-2015;600
8-12-2015;600
9-12-2015;600
10-12-2015;600
11-12-2015;600
12-12-2015;600
13-12-2015;600
14-12-2015;600
15-12-2015;600
16-12-2015;600
17-12-2015;600
18-12-2015;600
19-12-2015;600
20-12-2015;600
21-12-2015;600
22-12-2015;600
23-12-2015;600
24-12-2015;600
25-12-2015;600
26-12-2015;600
27-12-2015;600
28-12-2015;600
29-12-2015;600
30-12-2015;600
31-12-2015;600
1-1-2016;600
2-1-2016;600
3-1-2016;600
4-1-2016;600
5-1-2016;600
6-1-2016;600
7-1-2016;600
8-1-2016;600
9-1-2016;600
10-1-2016;600
11-1-2016;600
12-1-2016;600
13-1-2016;600
14-1-2016;600
15-1-2016;600
16-1-2016;600
17-1-2016;600
18-1-2016;600
19-1-2016;600
20-1-2016;600
21-1-2016;600
22-1-2016;600
23-1-2016;600
24-1-2016;600
25-1-2016;600
26-1-2016;600
27-1-2016;600
28-1-2016;600
29-1-2016;600
30-1-2016;600
31-1-2016;600
1-2-2016;600
2-2-2016;600
3-2-2016;600
4-2-2016;600
5-2-2016;600
6-2-2016;600
7-2-2016;600
8-2-2016;600
9-2-2016;600
10-2-2016;600
11-2-2016;600
12-2-2016;600
13-2-2016;600
14-2-2016;600
15-2-2016;600
16-2-2016;600
17-2-2016;600
18-2-2016;600
19-2-2016;600
20-2-2016;600
21-2-2016;600
22-2-2016;600
23-2-2016;600
24-2-2016;600
25-2-2016;600
26-2-2016;600
27-2-2016;600
28-2-2016;600
29-2-2016;600
1-3-2016;600
2-3-2016;600
3-3-2016;600
4-3-2016;600
5-3-2016;600
6-3-2016;600
7-3-2016;600
8-3-2016;600
9-3-2016;600
10-3-2016;600
11-3-2016;600
12-3-2016;600
13-3-2016;600
14-3-2016;600
15-3-2016;600
16-3-2016;600
17-3-2016;600
18-3-2016;600
19-3-2016;600
20-3-2016;600
21-3-2016;600
22-3-2016;600
23-3-2016;600
24-3-2016;600
25-3-2016;600
26-3-2016;600
27-3-2016;600
28-3-2016;600
29-3-2016;600
30-3-2016;600
31-3-2016;600
1-4-2016;600
2-4-2016;600
3-4-2016;600
4-4-2016;600
5-4-2016;600
6-4-2016;600
7-4-2016;600
8-4-2016;600
9-4-2016;600
10-4-2016;600
11-4-2016;600
12-4-2016;600
13-4-2016;600
14-4-2016;600
15-4-2016;600
16-4-2016;600
17-4-2016;600
18-4-2016;600
19-4-2016;600
20-4-2016;600
21-4-2016;600
22-4-2016;600
23-4-2016;600
24-4-2016;600
25-4-2016;600
26-4-2016;600
27-4-2016;600
28-4-2016;600
29-4-2016;600
30-4-2016;600
1-5-2016;600
2-5-2016;600
3-5-2016;600
4-5-2016;600
5-5-2016;600
6-5-2016;600
7-5-2016;600
8-5-2016;600
9-5-2016;600
10-5-2016;600
11-5-2016;600
12-5-2016;600
13-5-2016;600
14-5-2016;600
15-5-2016;600
16-5-2016;600
17-5-2016;600
18-5-2016;600
19-5-2016;600
20-5-2016;600
21-5-2016;600
22-5-2016;600
23-5-2016;600
24-5-2016;600
25-5-2016;600
26-5-2016;600
27-5-2016;600
28-5-2016;600
29-5-2016;600
30-5-2016;600
31-5-2016;600
1-6-2016;600
2-6-2016;600
3-6-2016;600
4-6-2016;600
5-6-2016;600
6-6-2016;600
7-6-2016;600
8-6-2016;600
9-6-2016;600
10-6-2016;600
11-6-2016;600
12-6-2016;600
13-6-2016;600
14-6-2016;600
15-6-2016;600
16-6-2016;600
17-6-2016;600
18-6-2016;600
19-6-2016;600
20-6-2016;600
21-6-2016;600
22-6-2016;600
23-6-2016;600
24-6-2016;600
25-6-2016;600
26-6-2016;600
27-6-2016;600
28-6-2016;600
29-6-2016;600
30-6-2016;600
1-7-2016;600
2-7-2016;600
3-7-2016;600
4-7-2016;600
5-7-2016;600
6-7-2016;600
7-7-2016;600
8-7-2016;600
9-7-2016;600
10-7-2016;600
11-7-2016;600
12-7-2016;600
13-7-2016;600
14-7-2016;600
15-7-2016;600
16-7-2016;600
17-7-2016;600
18-7-2016;600
19-7-2016;600
20-7-2016;600
21-7-2016;600
22-7-2016;600
23-7-2016;600
24-7-2016;600
25-7-2016;600
26-7-2016;600
27-7-2016;600
28-7-2016;600
29-7-2016;600
30-7-2016;600
31-7-2016;600
1-8-2016;600
2-8-2016;600
3-8-2016;600
4-8-2016;600
5-8-2016;600
6-8-2016;600
7-8-2016;600
8-8-2016;600
9-8-2016;600
10-8-2016;600
11-8-2016;600
12-8-2016;600
13-8-2016;600
14-8-2016;600
15-8-2016;600
16-8-2016;600
17-8-2016;600
18-8-2016;600
19-8-2016;600
20-8-2016;600
21-8-2016;600
22-8-2016;600
23-8-2016;600
24-8-2016;600
25-8-2016;600
26-8-2016;600
27-8-2016;600
28-8-2016;600
29-8-2016;600
30-8-2016;600
31-8-2016;600
1-9-2016;600
2-9-2016;600
3-9-2016;600
4-9-2016;600
5-9-2016;600
6-9-2016;600
7-9-2016;600
8-9-2016;600
9-9-2016;600
10-9-2016;600
11-9-2016;600
12-9-2016;600
13-9-2016;600
14-9-2016;600
15-9-2016;600
16-9-2016;600
17-9-2016;600
18-9-2016;600
19-9-2016;600
20-9-2016;600
21-9-2016;600
22-9-2016;600
23-9-2016;600
24-9-2016;600
25-9-2016;600
26-9-2016;600
27-9-2016;600
28-9-2016;600
29-9-2016;600
30-9-2016;600
1-10-2016;600
2-10-2016;600
3-10-2016;600
4-10-2016;600
5-10-2016;600
6-10-2016;600
7-10-2016;600
8-10-2016;600
9-10-2016;600
10-10-2016;600
11-10-2016;600
12-10-2016;600
13-10-2016;600
14-10-2016;600
15-10-2016;600
16-10-2016;600
17-10-2016;600
18-10-2016;600
19-10-2016;600
20-10-2016;600
21-10-2016;600
22-10-2016;600
23-10-2016;600
24-10-2016;600
25-10-2016;600
26-10-2016;600
27-10-2016;600
28-10-2016;600
29-10-2016;600
30-10-2016;600
31-10-2016;600
1-11-2016;600
2-11-2016;600
3-11-2016;600
4-11-2016;600
5-11-2016;600
6-11-2016;600
7-11-2016;600
8-11-2016;600
9-11-2016;600
10-11-2016;600
11-11-2016;600
12-11-2016;600
13-11-2016;600
14-11-2016;600
15-11-2016;600
16-11-2016;600
17-11-2016;600
18-11-2016;600
19-11-2016;600
20-11-2016;600
21-11-2016;600
22-11-2016;600
23-11-2016;600
24-11-2016;600
25-11-2016;600
26-11-2016;600
27-11-2016;600
28-11-2016;600
29-11-2016;600
30-11-2016;600
1-12-2016;600
2-12-2016;600
3-12-2016;600
4-12-2016;600
5-12-2016;600
6-12-2016;600
7-12-2016;600
8-12-2016;600
9-12-2016;600
10-12-2016;600
11-12-2016;600
12-12-2016;600
13-12-2016;600
14-12-2016;600
15-12-2016;600
16-12-2016;600
17-12-2016;600
18-12-2016;600
19-12-2016;600
20-12-2016;600
21-12-2016;600
22-12-2016;600
23-12-2016;600
24-12-2016;600
25-12-2016;600
26-12-2016;600
27-12-2016;600
28-12-2016;600
29-12-2016;600
30-12-2016;600
31-12-2016;600
1-1-2017;600
2-1-2017;600
3-1-2017;600
4-1-2017;600
5-1-2017;600
6-1-2017;600
7-1-2017;600
8-1-2017;600
9-1-2017;600
10-1-2017;600
11-1-2017;600
12-1-2017;600
13-1-2017;600
14-1-2017;600
15-1-2017;600
16-1-2017;600
17-1-2017;600
18-1-2017;600
19-1-2017;600
20-1-2017;600
21-1-2017;600
22-1-2017;600
23-1-2017;600
24-1-2017;600
25-1-2017;600
26-1-2017;600
27-1-2017;600
28-1-2017;600
29-1-2017;600
30-1-2017;600
31-1-2017;600
1-2-2017;600
2-2-2017;600
3-2-2017;600
4-2-2017;600
5-2-2017;600
6-2-2017;600
7-2-2017;600
8-2-2017;600
9-2-2017;600
10-2-2017;600
11-2-2017;600
12-2-2017;600
13-2-2017;600
14-2-2017;600
15-2-2017;600
16-2-2017;600
17-2-2017;600
18-2-2017;600
19-2-2017;600
20-2-2017;600
21-2-2017;600
22-2-2017;600
23-2-2017;600
24-2-2017;600
25-2-2017;600
26-2-2017;600
27-2-2017;600
28-2-2017;600
1-3-2017;600
2-3-2017;600
3-3-2017;600
4-3-2017;600
5-3-2017;600
6-3-2017;600
7-3-2017;600
8-3-2017;600
9-3-2017;600
10-3-2017;600
11-3-2017;600
12-3-2017;600
13-3-2017;600
14-3-2017;600
15-3-2017;600
16-3-2017;600
17-3-2017;600
18-3-2017;600
19-3-2017;600
20-3-2017;600
21-3-2017;600
22-3-2017;600
23-3-2017;600
24-3-2017;600
25-3-2017;600
26-3-2017;600
27-3-2017;600
28-3-2017;600
29-3-2017;600
30-3-2017;600
31-3-2017;600
1-4-2017;600
2-4-2017;600
3-4-2017;600
4-4-2017;600
5-4-2017;600
6-4-2017;600
7-4-2017;600
8-4-2017;600
9-4-2017;600
10-4-2017;600
11-4-2017;600
12-4-2017;600
13-4-2017;600
14-4-2017;600
15-4-2017;600
16-4-2017;600
17-4-2017;600
18-4-2017;600
19-4-2017;600
20-4-2017;600
21-4-2017;600
22-4-2017;600
23-4-2017;600
24-4-2017;600
25-4-2017;600
26-4-2017;600
27-4-2017;600
28-4-2017;600
29-4-2017;600
30-4-2017;600
1-5-2017;600
2-5-2017;600
3-5-2017;600
4-5-2017;600
5-5-2017;600
6-5-2017;600
7-5-2017;600
8-5-2017;600
9-5-2017;600
10-5-2017;600
11-5-2017;600
12-5-2017;600
13-5-2017;600
14-5-2017;600
15-5-2017;600
16-5-2017;600
17-5-2017;600
18-5-2017;600
19-5-2017;600
20-5-2017;600
21-5-2017;600
22-5-2017;600
23-5-2017;600
24-5-2017;600
25-5-2017;600
26-5-2017;600
27-5-2017;600
28-5-2017;600
29-5-2017;600
30-5-2017;600
31-5-2017;600
1-6-2017;600
2-6-2017;600
3-6-2017;600
4-6-2017;600
5-6-2017;600
6-6-2017;600
7-6-2017;600
8-6-2017;600
9-6-2017;600
10-6-2017;600
11-6-2017;600
12-6-2017;600
13-6-2017;600
14-6-2017;600
15-6-2017;600
16-6-2017;600
17-6-2017;600
18-6-2017;600
19-6-2017;600
20-6-2017;600
21-6-2017;600
22-6-2017;600
23-6-2017;600
24-6-2017;600
25-6-2017;600
26-6-2017;600
27-6-2017;600
28-6-2017;600
29-6-2017;600
30-6-2017;600
1-7-2017;600
2-7-2017;600
3-7-2017;600
4-7-2017;600
5-7-2017;600
6-7-2017;600
7-7-2017;600
8-7-2017;600
9-7-2017;600
10-7-2017;600
11-7-2017;600
12-7-2017;600
13-7-2017;600
14-7-2017;600
15-7-2017;600
16-7-2017;600
17-7-2017;600
18-7-2017;600
19-7-2017;600
20-7-2017;600
21-7-2017;600
22-7-2017;600
23-7-2017;600
24-7-2017;600
25-7-2017;600
26-7-2017;600
27-7-2017;600
28-7-2017;600
29-7-2017;600
30-7-2017;600
31-7-2017;600
1-8-2017;600
2-8-2017;600
3-8-2017;600
4-8-2017;600
5-8-2017;600
6-8-2017;600
7-8-2017;600
8-8-2017;600
9-8-2017;600
10-8-2017;600
11-8-2017;600
12-8-2017;600
13-8-2017;600
14-8-2017;600
15-8-2017;600
16-8-2017;600
17-8-2017;600
18-8-2017;600
19-8-2017;600
20-8-2017;600
21-8-2017;600
22-8-2017;600
23-8-2017;600
24-8-2017;600
25-8-2017;600
26-8-2017;600
27-8-2017;600
28-8-2017;600
29-8-2017;600
30-8-2017;600
31-8-2017;600
1-9-2017;600
2-9-2017;600
3-9-2017;600
4-9-2017;600
5-9-2017;600
6-9-2017;600
7-9-2017;600
8-9-2017;600
9-9-2017;600
10-9-2017;600
11-9-2017;600
12-9-2017;600
13-9-2017;600
14-9-2017;600
15-9-2017;600
16-9-2017;600
17-9-2017;600
18-9-2017;600
19-9-2017;600
20-9-2017;600
21-9-2017;600
22-9-2017;600
23-9-2017;600
24-9-2017;600
25-9-2017;600
26-9-2017;600
27-9-2017;600
28-9-2017;600
29-9-2017;600
30-9-2017;600
1-10-2017;600
2-10-2017;600
3-10-2017;600
4-10-2017;600
5-10-2017;600
6-10-2017;600
7-10-2017;600
8-10-2017;600
9-10-2017;600
10-10-2017;600
11-10-2017;600
12-10-2017;600
13-10-2017;600
14-10-2017;600
15-10-2017;600
16-10-2017;600
17-10-2017;600
18-10-2017;600
19-10-2017;600
20-10-2017;600
21-10-2017;600
22-10-2017;600
23-10-2017;600
24-10-2017;600
25-10-2017;600
26-10-2017;600
27-10-2017;600
28-10-2017;600
29-10-2017;600
30-10-2017;600
31-10-2017;600
1-11-2017;600
2-11-2017;600
3-11-2017;600
4-11-2017;600
5-11-2017;600
6-11-2017;600
7-11-2017;600
8-11-2017;600
9-11-2017;600
10-11-2017;600
11-11-2017;600
12-11-2017;600
13-11-2017;600
14-11-2017;600
15-11-2017;600
16-11-2017;600
17-11-2017;600
18-11-2017;600
19-11-2017;600
20-11-2017;600
21-11-2017;600
22-11-2017;600
23-11-2017;600
24-11-2017;600
25-11-2017;600
26-11-2017;600
27-11-2017;600
28-11-2017;600
29-11-2017;600
30-11-2017;600
1-12-2017;600
2-12-2017;600
3-12-2017;600
4-12-2017;600
5-12-2017;600
6-12-2017;600
7-12-2017;600
8-12-2017;600
9-12-2017;600
10-12-2017;600
11-12-2017;600
12-12-2017;600
13-12-2017;600
14-12-2017;600
15-12-2017;600
16-12-2017;600
17-12-2017;600
18-12-2017;600
19-12-2017;600
20-12-2017;600
21-12-2017;600
22-12-2017;600
23-12-2017;600
24-12-2017;600
25-12-2017;600
26-12-2017;600
27-12-2017;600
28-12-2017;600
29-12-2017;600
30-12-2017;600
31-12-2017;600
1-1-2018;600
2-1-2018;600
3-1-2018;600
4-1-2018;600
5-1-2018;600
6-1-2018;600
7-1-2018;600
8-1-2018;600
9-1-2018;600
10-1-2018;600
11-1-2018;600
12-1-2018;600
13-1-2018;600
14-1-2018;600
15-1-2018;600
16-1-2018;600
17-1-2018;600
18-1-2018;600
19-1-2018;600
20-1-2018;600
21-1-2018;600
22-1-2018;600
23-1-2018;600
24-1-2018;600
25-1-2018;600
26-1-2018;600
27-1-2018;600
28-1-2018;600
29-1-2018;600
30-1-2018;600
31-1-2018;600
1-2-2018;600
2-2-2018;600
3-2-2018;600
4-2-2018;600
5-2-2018;600
6-2-2018;600
7-2-2018;600
8-2-2018;600
9-2-2018;600
10-2-2018;600
11-2-2018;600
12-2-2018;600
13-2-2018;600
14-2-2018;600
15-2-2018;600
16-2-2018;600
17-2-2018;600
18-2-2018;600
19-2-2018;600
20-2-2018;600
21-2-2018;600
22-2-2018;600
23-2-2018;600
24-2-2018;600
25-2-2018;600
26-2-2018;600
27-2-2018;600
28-2-2018;600
1-3-2018;600
2-3-2018;600
3-3-2018;600
4-3-2018;600
5-3-2018;600
6-3-2018;600
7-3-2018;600
8-3-2018;600
9-3-2018;600
10-3-2018;600
11-3-2018;600
12-3-2018;600
13-3-2018;600
14-3-2018;600
15-3-2018;600
16-3-2018;600
17-3-2018;600
18-3-2018;600
19-3-2018;600
20-3-2018;600
21-3-2018;600
22-3-2018;600
23-3-2018;600
24-3-2018;600
25-3-2018;600
26-3-2018;600
27-3-2018;600
28-3-2018;600
29-3-2018;600
30-3-2018;600
31-3-2018;600
1-4-2018;600
2-4-2018;600
3-4-2018;600
4-4-2018;600
5-4-2018;600
6-4-2018;600
7-4-2018;600
8-4-2018;600
9-4-2018;600
10-4-2018;600
11-4-2018;600
12-4-2018;600
13-4-2018;600
14-4-2018;600
15-4-2018;600
16-4-2018;600
17-4-2018;600
18-4-2018;600
19-4-2018;600
20-4-2018;600
21-4-2018;600
22-4-2018;600
23-4-2018;600
24-4-2018;600
25-4-2018;600
26-4-2018;600
27-4-2018;600
28-4-2018;600
29-4-2018;600
30-4-2018;600
1-5-2018;600
2-5-2018;600
3-5-2018;600
4-5-2018;600
5-5-2018;600
6-5-2018;600
7-5-2018;600
8-5-2018;600
9-5-2018;600
10-5-2018;600
11-5-2018;600
12-5-2018;600
13-5-2018;600
14-5-2018;600
15-5-2018;600
16-5-2018;600
17-5-2018;600
18-5-2018;600
19-5-2018;600
20-5-2018;600
21-5-2018;600
22-5-2018;600
23-5-2018;600
24-5-2018;600
25-5-2018;600
26-5-2018;600
27-5-2018;600
28-5-2018;600
29-5-2018;600
30-5-2018;600
31-5-2018;600
1-6-2018;600
2-6-2018;600
3-6-2018;600
4-6-2018;600
5-6-2018;600
6-6-2018;600
7-6-2018;600
8-6-2018;600
9-6-2018;600
10-6-2018;600
11-6-2018;600
12-6-2018;600
13-6-2018;600
14-6-2018;600
15-6-2018;600
16-6-2018;600
17-6-2018;600
18-6-2018;600
19-6-2018;600
20-6-2018;600
21-6-2018;600
22-6-2018;600
23-6-2018;600
24-6-2018;600
25-6-2018;600
26-6-2018;600
27-6-2018;600
28-6-2018;600
29-6-2018;600
30-6-2018;600
1-7-2018;600
2-7-2018;600
3-7-2018;600
4-7-2018;600
